timestamp,date,blood_pressure,label
1610637998.0200212,2021-01-14T15:26:38.020021Z,141,other
1610637998.0350213,2021-01-14T15:26:38.035021Z,137,other
1610637998.0500214,2021-01-14T15:26:38.050021Z,133,other
1610637998.0650215,2021-01-14T15:26:38.065022Z,128,other
1610637998.0800216,2021-01-14T15:26:38.080022Z,125,other
1610637998.0950215,2021-01-14T15:26:38.095022Z,121,other
1610637998.1100218,2021-01-14T15:26:38.110022Z,117,other
1610637998.125022,2021-01-14T15:26:38.125022Z,113,other
1610637998.140022,2021-01-14T15:26:38.140022Z,109,other
1610637998.155022,2021-01-14T15:26:38.155022Z,104,other
1610637998.1700222,2021-01-14T15:26:38.170022Z,100,other
1610637998.1850224,2021-01-14T15:26:38.185022Z,97,other
1610637998.2000225,2021-01-14T15:26:38.200022Z,94,other
1610637998.2150226,2021-01-14T15:26:38.215023Z,91,other
1610637998.230023,2021-01-14T15:26:38.230023Z,89,other
1610637998.2450228,2021-01-14T15:26:38.245023Z,88,other
1610637998.2600229,2021-01-14T15:26:38.260023Z,87,other
1610637998.275023,2021-01-14T15:26:38.275023Z,86,other
1610637998.290023,2021-01-14T15:26:38.290023Z,87,other
1610637998.3050232,2021-01-14T15:26:38.305023Z,88,other
1610637998.3200233,2021-01-14T15:26:38.320023Z,89,other
1610637998.3350234,2021-01-14T15:26:38.335023Z,91,other
1610637998.3500235,2021-01-14T15:26:38.350024Z,92,other
1610637998.3650236,2021-01-14T15:26:38.365024Z,95,other
1610637998.3800237,2021-01-14T15:26:38.380024Z,98,other
1610637998.3950238,2021-01-14T15:26:38.395024Z,103,other
1610637998.410024,2021-01-14T15:26:38.410024Z,111,other
1610637998.425024,2021-01-14T15:26:38.425024Z,122,other
1610637998.440024,2021-01-14T15:26:38.440024Z,134,other
1610637998.4550242,2021-01-14T15:26:38.455024Z,147,other
1610637998.4700243,2021-01-14T15:26:38.470024Z,160,other
1610637998.4850245,2021-01-14T15:26:38.485024Z,171,other
1610637998.5000246,2021-01-14T15:26:38.500025Z,180,other
1610637998.515025,2021-01-14T15:26:38.515025Z,187,other
1610637998.5300248,2021-01-14T15:26:38.530025Z,191,other
1610637998.5450249,2021-01-14T15:26:38.545025Z,193,other
1610637998.560025,2021-01-14T15:26:38.560025Z,193,other
1610637998.575025,2021-01-14T15:26:38.575025Z,191,other
1610637998.5900252,2021-01-14T15:26:38.590025Z,188,other
1610637998.6050253,2021-01-14T15:26:38.605025Z,184,other
1610637998.6200254,2021-01-14T15:26:38.620025Z,178,other
1610637998.6350255,2021-01-14T15:26:38.635026Z,173,other
1610637998.6500256,2021-01-14T15:26:38.650026Z,167,other
1610637998.6650257,2021-01-14T15:26:38.665026Z,162,other
1610637998.6800258,2021-01-14T15:26:38.680026Z,157,other
1610637998.695026,2021-01-14T15:26:38.695026Z,152,other
1610637998.710026,2021-01-14T15:26:38.710026Z,148,other
1610637998.725026,2021-01-14T15:26:38.725026Z,144,other
1610637998.7400262,2021-01-14T15:26:38.740026Z,139,other
1610637998.7550263,2021-01-14T15:26:38.755026Z,135,other
1610637998.7700264,2021-01-14T15:26:38.770026Z,131,other
1610637998.7850266,2021-01-14T15:26:38.785027Z,126,other
1610637998.800027,2021-01-14T15:26:38.800027Z,123,other
1610637998.8150268,2021-01-14T15:26:38.815027Z,119,other
1610637998.8300269,2021-01-14T15:26:38.830027Z,115,other
1610637998.845027,2021-01-14T15:26:38.845027Z,111,other
1610637998.860027,2021-01-14T15:26:38.860027Z,107,other
